golf_name,golf_city,osm_id,total_holes,missing_ref_count,unresolved_duplicates
Golf d'Annonay-Gourdan,,way/75616005,7,7,0
Golf de Chassieu,,way/139128639,24,6,0
Golf de Corrençon,,way/211885973,23,0,5
Golf de Grenoble Charmeil,,way/103553037,0,0,0
Golf de Mâcon La Salle,,way/195646412,24,24,0
Golf de Valence Saint-Didier,,way/460186822,0,0,0
Golf de la Bresse,Condeissiat,way/190706755,24,6,0
Golf de la Commanderie,,way/194283742,0,0,0
Golf des 3 vallons,,way/142244633,18,0,9
Golf des Chanalets,,way/785647219,0,0,0
Golf des Étangs,,way/172915824,1,1,0
Golf du Beaujolais,,way/45898890,21,21,0
Golf du Forez,,way/248190244,0,0,0
Golf du Gouverneur,,relation/8362488,47,1,0
Lyon Salvagny Golf Club,,way/297670966,5,3,0
Parcours de golf de L'ATOL',,way/114449252,0,0,0
