osm_name,osm_city,osm_id,distance_km,cgolf_found,match_score,cgolf_name,cgolf_url,holes_count,has_par,has_hcp,has_dist
Golf de Lyon Tassin,,way/144880540,6.6,non,0,,,0,non,non,non
Golf de Chassieu,,way/139128639,9.0,oui,100.0,Golf Blue Green Grand Lyon Chassieu Chassieu,https://www.cgolf.fr/detail/golf-blue-green-grand-lyon-chassieu-69680,0,?,?,?
Parcours de golf de L'ATOL',,way/114449252,9.4,oui,60,Golf de Miribel-Jonage Vaulx-en-Velin,https://www.cgolf.fr/detail/golf-de-miribel-jonage-vaulx-en-velin-69120,0,?,?,?
Lyon Salvagny Golf Club,,way/297670966,12.0,oui,100.0,Lyon Salvagny Golf Club Parcours Les Etangs  La Tour-de-Salvagny,https://www.cgolf.fr/detail/lyon-salvagny-golf-club-parcours-les-etangs-la-tour-de-salvagny-69890,0,?,?,?
Lyon Salvagny Golf Club,,way/297670966,12.0,oui,100.0,Lyon Salvagny Golf Club Parcours Le Château  La Tour-de-Salvagny,https://www.cgolf.fr/detail/lyon-salvagny-golf-club-parcours-le-chateau-la-tour-de-salvagny-69890,0,?,?,?
Golf de Lyon Verger,,relation/17667965,13.2,oui,100.0,Golf de Lyon Verger Parcours 18 trous Saint-Symphorien-d'Ozon,https://www.cgolf.fr/detail/golf-de-lyon-verger-saint-symphorien-d-ozon-69360,0,?,?,?
Golf de Lyon Verger,,relation/17667965,13.2,oui,100.0,Golf de Lyon Verger Parcours Le Prés 9 Saint-Symphorien-d'Ozon,https://www.cgolf.fr/detail/golf-de-lyon-verger-parcours-le-pres-9-saint-symphorien-d-ozon-69360,0,?,?,?
Garden Golf de Mionnay,,way/10416296,17.6,oui,100.0,Garden Golf Mionnay Mionnay,https://www.cgolf.fr/detail/garden-golf-mionnay-01390a,0,?,?,?
Garden Golf de Mionnay,,way/10416296,17.6,oui,100.0,Garden Golf Mionnay Parcours Golflower  Mionnay,https://www.cgolf.fr/detail/garden-golf-parcours-golfower-mionnay-01390a,0,?,?,?
Golf du Beaujolais,,way/45898890,19.9,oui,100.0,Beaujolais Golf Club  Lucenay,https://www.cgolf.fr/detail/beaujolais-golf-club-lucenay-69480,0,?,?,?
Golf Club de Lyon,,way/117975437,21.7,oui,100.0,Golf Club de Lyon Parcours Les Sangliers Villette-d'Anthon,https://www.cgolf.fr/detail/golf-club-de-lyon-parcours-les-sangliers-villette-d-anthon-38280,0,?,?,?
